City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
126,bayan,15,CN,1574293985,26,36.1,102.26,24.24,3.83
127,zhezkazgan,0,KZ,1574293985,87,47.8,67.71,-4.59,14.12
128,kirakira,97,SB,1574293985,85,-10.46,161.92,79.39,8.57
129,saint-philippe,90,CA,1574293985,98,45.36,-73.48,34.0,4.7
130,roma,20,IT,1574293688,93,41.89,12.48,55.4,3.36
131,kosum phisai,21,TH,1574293985,93,16.25,103.07,66.2,3.36
132,sfantu gheorghe,90,RO,1574293985,100,44.65,26.83,53.01,18.34
133,abbeville,90,FR,1574293985,93,50.11,1.83,36.0,12.75
134,sale,88,AU,1574293985,21,-38.11,147.06,100.99,7.0
135,bandarbeyla,100,SO,1574293986,83,9.49,50.81,80.69,8.23
136,ouadda,64,CF,1574293986,26,8.07,22.4,68.79,4.47
137,fort nelson,75,CA,1574293986,85,58.81,-122.69,15.8,1.07
138,miramar,90,CR,1574293986,100,10.09,-84.73,72.0,8.05
139,kudahuvadhoo,43,MV,1574293986,79,2.67,72.89,81.91,12.57
140,talpa,14,MX,1574293986,53,28.83,-111.63,75.0,8.99
141,katsuura,40,JP,1574293986,75,33.93,134.5,46.4,5.82
142,boddam,90,GB,1574293986,81,57.47,-1.78,46.4,19.46
143,touros,20,BR,1574293986,78,-5.2,-35.46,77.0,8.05
144,grindavik,75,IS,1574293986,86,63.84,-22.43,41.0,11.41
145,ilulissat,100,GL,1574293986,79,69.22,-51.1,24.8,4.7
146,kavieng,100,PG,1574293986,75,-2.57,150.8,83.77,11.74
147,goroka,100,PG,1574293986,75,-6.07,145.39,68.5,3.02
148,cabo san lucas,5,MX,1574293822,64,22.89,-109.91,79.0,14.99
149,kerman,40,IR,1574293987,81,30.29,57.06,42.8,4.7
150,woodward,1,US,1574293987,87,36.43,-99.39,60.8,13.87
151,sambava,2,MG,1574293987,90,-14.27,50.17,72.14,2.13
152,karpogory,100,RU,1574293987,93,64.0,44.44,27.0,7.83
153,kodiak,75,US,1574293987,48,39.95,-94.76,64.4,19.46
154,bartica,20,GY,1574293987,88,6.41,-58.62,80.6,4.7
155,amahai,39,ID,1574293987,72,-3.31,129.0,81.03,1.99
156,vila velha,20,BR,1574293987,74,-3.71,-38.6,80.6,11.41
157,saskylakh,100,RU,1574293987,97,71.97,114.09,-6.83,5.03
158,alice springs,15,AU,1574293700,16,-23.7,133.88,87.8,19.46
159,bagdarin,59,RU,1574293987,92,54.44,113.59,-8.03,0.25
160,aksu,90,KZ,1574293988,75,52.04,76.93,-13.0,4.47
161,bela,31,PK,1574293988,68,26.23,66.31,70.52,0.85
162,gizo,1,IL,1574293988,28,31.8,34.94,61.0,1.12
163,micheweni,100,TZ,1574293988,82,-4.97,39.83,81.23,5.82
164,bowen,40,AU,1574293988,54,-20.01,148.25,86.0,9.17
165,caluquembe,66,AO,1574293988,57,-13.78,14.68,59.45,5.21
166,atambua,98,ID,1574293988,53,-9.11,124.89,84.29,3.18
167,oriximina,100,BR,1574293988,79,-1.77,-55.87,80.56,3.58
168,chuy,0,UY,1574293989,91,-33.69,-53.46,69.3,6.96
169,hami,0,CN,1574293989,36,42.84,93.51,25.18,1.07
170,saint-pierre,0,FR,1574293989,95,48.95,4.24,33.8,8.05
171,toora-khem,100,RU,1574293989,86,52.47,96.11,-1.44,8.03
172,poum,0,MK,1574293989,86,41.28,20.71,40.62,2.62
173,barrow,0,AR,1574293989,73,-38.31,-60.23,51.19,9.28
174,raudeberg,100,NO,1574293989,48,61.99,5.14,44.6,12.75
175,suluq,100,LY,1574293989,32,31.67,20.25,67.48,10.0
176,tezu,16,IN,1574293989,65,27.93,96.16,59.92,2.33
177,pskov,84,RU,1574293989,83,57.82,28.33,39.2,8.95
178,at-bashi,76,KG,1574293989,79,41.17,75.81,13.35,1.86
179,horsham,54,AU,1574293990,8,-36.71,142.2,100.87,30.15
180,tazovskiy,100,RU,1574293990,95,67.47,78.7,9.34,3.71
181,marzuq,1,YE,1574293990,76,14.4,46.47,66.45,3.53
182,komsomolskiy,100,RU,1574293990,95,67.55,63.78,11.8,10.4
183,ovre ardal,96,NO,1574293990,89,61.32,7.8,17.1,6.29
184,kasongo,20,CD,1574293990,93,-4.43,26.67,70.43,2.1
185,lebu,40,ET,1574293990,82,8.96,38.73,57.2,6.93
186,batagay-alyta,94,RU,1574293990,100,67.8,130.41,-20.43,0.25
187,pevek,17,RU,1574293990,98,69.7,170.27,-5.98,2.39
188,mayo,90,CA,1574293990,100,63.59,-135.9,26.6,3.36
189,hilo,40,US,1574293990,65,19.71,-155.08,82.4,4.7
190,mankera,14,NG,1574293991,19,13.01,5.07,83.59,6.22
191,yarovoye,79,RU,1574293991,96,52.92,78.56,-13.68,7.02
192,boa vista,75,BR,1574293991,62,2.82,-60.67,86.0,9.17
193,ostrovnoy,95,RU,1574293991,96,68.05,39.51,34.45,21.3
194,anadyr,20,RU,1574293991,77,64.73,177.51,1.4,13.42
195,sinnamary,68,GF,1574293991,81,5.38,-52.96,82.04,13.06
196,sorland,75,NO,1574293991,81,67.67,12.69,44.6,21.92
197,mgandu,78,TZ,1574293991,75,-5.96,34.11,66.4,5.5
198,taoudenni,0,ML,1574293991,24,22.68,-3.98,62.6,4.72
199,mandalgovi,46,MN,1574293992,56,45.76,106.27,22.39,13.67
200,lucapa,100,AO,1574293992,94,-8.42,20.74,67.55,2.53
201,loikaw,0,MM,1574293992,89,19.67,97.21,56.79,0.76
202,rabo de peixe,40,PT,1574293992,88,37.8,-25.58,62.6,5.82
203,salalah,40,OM,1574293992,78,17.01,54.1,78.8,3.36
204,grand gaube,20,MU,1574293992,88,-20.01,57.66,75.2,3.36
205,vulcan,0,CA,1574293992,90,50.4,-113.26,21.0,6.91
206,ancud,34,CL,1574293992,54,-41.87,-73.83,55.4,10.29
207,saraland,1,US,1574293946,71,30.82,-88.07,57.99,2.59
208,nara,20,JP,1574293992,76,34.68,135.8,52.0,10.29
209,kiama,0,AU,1574293992,28,-34.67,150.86,82.4,6.93
210,savannah bight,12,HN,1574293992,64,16.45,-85.85,80.62,8.57
211,roald,94,NO,1574293993,64,62.58,6.12,37.4,13.87
212,pitimbu,20,BR,1574293993,78,-7.47,-34.81,77.0,10.29
